MAT-0   
MAT-73   219.9425304044 346.4311000841
MAT-74   1228.5714390461 1749.7901156180
MAT-75   238.6208435274 253.3649662566
MAT-76   724.2569847252 1647.0841106616
MAT-77   294.6557828964 139.7756965383
MAT-78   257.2991566504 398.8596216603
MAT-79   1844.9557721049 1129.3816969373
MAT-400   2087.7738427038 190.4821661903
MAT-401   2125.1304689498 2328.1301649800
MAT-402   70.5160254204 247.7958253830
MAT-403   2442.6617920407 1285.4153993893
MAT-404   219.9425304044 402.3431779463
MAT-405   219.9425304044 536.1684530475
MAT-406   201.2642172814 217.8246905941
MAT-407   2218.5220345648 183.0093456291
MAT-408   257.2991566504 247.7958253830
MAT-409   332.0124091424 325.6675173558
MAT-410   332.0124091424 325.6675173558
MAT-411   313.3340960194 481.3064606507
MAT-412   388.0473485113 463.5835402280
MAT-413   388.0473485113 463.5835402280
MAT-414   2013.0605902118 384.6100071438
MAT-415   2087.7738427038 1430.3246802357
MAT-416   201.2642172814 362.1859291874
MAT-417   2573.4099839016 1259.0901110771
MAT-418   1900.9907114739 1184.8589070557
MAT-419   2405.3051657947 795.9679366124
MAT-420   1957.0256508428 737.7342574045
MAT-421   257.2991566504 321.3538498473
MAT-422   89.1943385434 204.6106686722
MAT-423   2031.7389033348 183.0093456291
MAT-424   238.6208435274 303.4866662900
MAT-425   275.9774697734 264.1512374079
MAT-426   1415.3545702760 1835.4234672415
MAT-427   892.3618028322 1928.8467332243
MAT-428   275.9774697734 566.5412876666
MAT-429   238.6208435274 631.7578745073
MAT-430   275.9774697734 334.1278227843
MAT-431   1938.3473377198 1065.8101448798
MAT-432   2069.0955295808 1059.2431683442
MAT-433   219.9425304044 481.3064606507
MAT-434   145.2292779124 190.4821661903
MAT-435   145.2292779124 402.3431779463
MAT-436   1826.2774589819 1124.4282445675
MAT-437   1919.6690245969 1339.6400772164
MAT-438   145.2292779124 346.4311000841
MAT-439   163.9075910354 139.7756965383
MAT-440   257.2991566504 247.7958253830
MAT-441   332.0124091424 325.6675173558
MAT-442   1546.1027621370 1420.5345262969
MAT-443   313.3340960194 481.3064606507
MAT-444   388.0473485113 463.5835402280
MAT-445   2013.0605902118 190.4821661903
MAT-446   2069.0955295808 217.8246905941
MAT-447   1359.3196309070 1468.8329016093
MAT-448   238.6208435274 253.3649662566
MAT-449   201.2642172814 362.1859291874
MAT-450   1490.0678227680 1715.9667760939
MAT-451   332.0124091424 631.7578745073
MAT-452   219.9425304044 346.4311000841
MAT-453   2143.8087820728 167.0639113922
MAT-454   238.6208435274 149.4265049840
MAT-455   1900.9907114739 1099.3262373844
MAT-456   257.2991566504 321.3538498473
MAT-457   89.1943385434 204.6106686722
MAT-458   275.9774697734 236.2640492739
MAT-459   2255.8786608107 432.4342126621
MAT-460   332.0124091424 149.4265049840
MAT-461   537.4738534953 1171.8315766742
MAT-462   686.9003584792 1946.8501730987
MAT-463   332.0124091424 346.4311000841
MAT-464   668.2220453563 1296.2264846380
MAT-465   126.5509647894 190.4821661903
MAT-466   126.5509647894 190.4821661903
MAT-467   2554.7316707787 1464.0747650325
MAT-468   1359.3196309070 1510.9820217505
MAT-469   1994.3822770888 190.4821661903
MAT-470   1228.5714390461 1909.9431428703
MAT-471   1882.3123983509 741.5078587892
MAT-472   948.3967422012 1634.3257147397
MAT-473   145.2292779124 402.3431779463
MAT-474   313.3340960194 481.3064606507
MAT-475   2573.4099839016 620.6148860261
MAT-476   163.9075910354 139.7756965383
MAT-477   275.9774697734 204.6106686722
MAT-478   2890.9413069925 2089.9688637944
MAT-479   294.6557828964 183.0093456291
MAT-480   257.2991566504 298.8530099679
