MAT-0   
MAT-45   3.67941 0.953247
MAT-46   24.59548 2989.605389
MAT-47   23.72306 2866.414669
MAT-48   12272.08102 47416.254131
MAT-49   3.23217 0.006687
MAT-50   3.22985 0.002257
MAT-51   -9756.76285 39477.509894
MAT-52   3.22653 0.015981
MAT-53   227.27150 557.249104
MAT-54   3.28124 0.173938
MAT-55   3.23280 0.013573
MAT-56   3.22915 0.002387
MAT-57   12365.87795 57835.837175
MAT-58   -286.69813 3601.735032
MAT-59   3.21287 0.072273
MAT-60   -3264.20772 17269.803524
MAT-61   880.28401 2398.765114
MAT-62   3.25934 0.116021
MAT-63   3.23118 0.006026
MAT-64   -817.92032 13183.187330
MAT-65   -542.48814 9226.949216
MAT-66   3.23109 0.019029
MAT-67   3.32657 0.444543
MAT-68   22.63345 6834.839176
MAT-69   3.23034 0.001606
MAT-70   3.23103 0.003402
MAT-71   2644.93184 6965.916950
MAT-72   3.75385 1.905765
MAT-73   3.22989 0.002716
MAT-74   904.71691 3358.645666
MAT-75   3.22583 0.018944
MAT-76   -2593.58980 10781.659775
MAT-77   3.23024 0.000684
MAT-78   3.23924 0.100252
MAT-79   1579.60201 5510.267757
MAT-400   -183.38071 1819.355436
MAT-401   -1946.07876 9007.824334
MAT-402   -nan nan
MAT-403   1766.42675 9557.415844
MAT-404   -nan nan
MAT-405   4.23716 4.367198
MAT-406   3.22819 0.004700
MAT-407   -1041.97097 3900.971984
MAT-408   3.22940 0.003024
MAT-409   3.33663 0.424158
MAT-410   3.33663 0.424158
MAT-411   -nan nan
MAT-412   3.39074 0.647701
MAT-413   3.39074 0.647701
MAT-414   -nan nan
MAT-415   -995.29151 3956.545667
MAT-416   3.24699 0.066606
MAT-417   23964.44985 104808.124670
MAT-418   -235.11113 1917.180493
MAT-419   2780.13227 11107.381924
MAT-420   2174.64362 9873.096777
MAT-421   3.27892 0.197871
MAT-422   3.32381 0.374781
MAT-423   916.37838 7174.444300
MAT-424   3.23395 0.018064
MAT-425   3.22852 0.003190
MAT-426   2960.00440 12325.536414
MAT-427   -nan nan
MAT-428   -nan nan
MAT-429   -nan nan
MAT-430   3.77920 1.118431
MAT-431   -2203.36013 12975.254153
MAT-432   -2033.69461 18919.696641
MAT-433   3.68905 1.233387
MAT-434   3.22960 0.002353
MAT-435   -nan nan
MAT-436   8874.01183 25998.189496
MAT-437   -1779.35850 8461.693666
MAT-438   3.22999 0.001820
MAT-439   3.22979 0.001897
MAT-440   3.22940 0.003024
MAT-441   3.33663 0.424158
MAT-442   -13.35412 113.623390
MAT-443   -nan nan
MAT-444   3.39074 0.647701
MAT-445   -4035.27509 9919.656245
MAT-446   -1557.41838 4017.108545
MAT-447   199.62690 1188.343387
MAT-448   3.23048 0.003641
MAT-449   3.24699 0.066606
MAT-450   -482.09435 1023.822405
MAT-451   5.01011 6.747368
MAT-452   3.23844 0.022017
MAT-453   -1500.48824 5314.524307
MAT-454   3.23129 0.008796
MAT-455   -15444.72840 79918.499621
MAT-456   3.27892 0.197871
MAT-457   3.32381 0.374781
MAT-458   3.07235 0.396953
MAT-459   -224.63778 10905.962011
MAT-460   3.74737 1.833409
MAT-461   10.07726 23.924769
MAT-462   11.16157 16.438047
MAT-463   3.23510 0.019352
MAT-464   21.35715 68.929174
MAT-465   3.23026 0.001658
MAT-466   3.23026 0.001658
MAT-467   2012.87342 64008.415775
MAT-468   -545.08640 1683.938189
MAT-469   -1031.11230 5357.913686
MAT-470   1422.28621 5451.517446
MAT-471   1912.88975 4951.519979
MAT-472   -244.94170 1057.403129
MAT-473   -nan nan
MAT-474   -nan nan
MAT-475   511.29437 1964.119312
MAT-476   3.22979 0.001897
MAT-477   3.26657 0.160265
MAT-478   1069.81064 1982.711063
MAT-479   3.26819 0.127326
MAT-480   3.43425 0.816342
MAT-481   3.23048 0.003641
MAT-482   3.37382 0.455135
MAT-483   -1042.07909 6135.171351
MAT-484   3.23030 0.001726
MAT-485   442.62092 13892.489781
MAT-486   5.69437 4.697651
MAT-487   537.55881 1881.028797
MAT-488   2858.16035 15872.940085
MAT-489   6048.54885 20062.364614
MAT-490   18.22572 55.760144
MAT-491   -nan nan
MAT-492   -nan nan
MAT-493   3.23395 0.018064
MAT-494   3.25045 0.066124
MAT-495   -1480.24940 3884.856508
MAT-496   -2166.49810 8206.242209
MAT-497   3.22713 0.010415
MAT-498   -4788.43853 13836.915234
MAT-499   1872.77618 4573.350619
MAT-500   -nan nan
MAT-501   -nan nan
MAT-502   3.23029 0.001345
MAT-503   4.95945 4.253700
MAT-504   -704.52704 9417.433532
MAT-505   3.23193 0.006956
MAT-506   62.11495 234.435641
MAT-507   3.22960 0.002353
MAT-508   636.60555 3461.616735
MAT-509   5982.93452 25342.312191
MAT-510   3.22999 0.001820
MAT-511   85.48874 956.519636
MAT-512   -144.69794 4377.297338
MAT-513   -nan nan
MAT-514   1164.99636 3653.918449
MAT-515   914.48012 4367.994601
MAT-516   3.23039 0.002135
MAT-517   -nan nan
MAT-518   3.22831 0.002546
MAT-519   3.32131 0.367691
MAT-520   3.20266 0.229936
MAT-521   3.23048 0.003641
MAT-522   3.24699 0.066606
MAT-523   172.67726 505.273486
MAT-524   1636.02942 6430.430204
MAT-525   3.23030 0.001726
MAT-526   -nan nan
MAT-527   -1433.74994 4691.921388
MAT-528   639.18928 6225.793140
MAT-529   3.27892 0.197871
MAT-530   3.32381 0.374781
MAT-531   3.32381 0.374781
MAT-532   -nan nan
MAT-533   903.15660 2598.007875
MAT-534   -2219.68070 8963.669632
MAT-535   4.04702 2.980269
MAT-536   3.22713 0.010415
MAT-537   -9987.22544 29142.240249
MAT-538   7342.80326 87429.935748
MAT-539   -48.22924 491.751192
MAT-540   3.23184 0.004684
MAT-541   -1685.76216 9315.855858
MAT-542   3.23029 0.001345
MAT-543   -1631.77619 9638.680481
MAT-544   3.23193 0.006956
MAT-545   3.34378 0.109575
MAT-546   3.22960 0.002353
MAT-547   -nan nan
MAT-548   -nan nan
MAT-549   2095.31469 7264.627171
MAT-550   533.11467 1246.232727
MAT-551   3.26657 0.160265
MAT-552   1439.13751 3578.917954
MAT-553   12.21546 27.886010
MAT-554   633.73557 1025.424540
MAT-555   3.22889 0.004636
MAT-556   3.23039 0.002135
MAT-557   3.22831 0.002546
MAT-558   116.22645 1338.299936
MAT-559   410.54466 890.285483
MAT-560   5910.22773 31377.089614
MAT-561   3.23248 0.008999
MAT-562   3.24303 0.039340
MAT-563   -1249.90751 5539.860514
MAT-564   5.83423 6.328192
MAT-565   3.22940 0.001890
MAT-566   -422.23770 912.124711
MAT-567   3.26608 0.142984
MAT-568   -831.21280 6493.254674
MAT-569   62.13079 377.361949
MAT-570   3.30643 0.223859
MAT-571   13.33742 2323.202932
MAT-572   3.28474 0.222018
MAT-573   3.68272 1.728390
MAT-574   3.23153 0.007115
MAT-575   3.03416 0.783368
MAT-576   3.22547 0.017910
MAT-577   3.23375 0.008079
MAT-578   3.28644 0.228520
MAT-579   303.10602 967.403362
MAT-580   34.27220 3432.351109
MAT-581   -nan nan
MAT-582   77.66575 782.554241
MAT-583   -28.46477 152.149615
MAT-584   -6110.39814 26371.569881
MAT-585   -3146.15981 20624.032822
MAT-586   -985.61463 3854.926625
MAT-587   9.53731 24.867153
MAT-588   3.23375 0.014322
MAT-589   3.23840 0.014161
MAT-590   3.65246 1.638890
MAT-591   -6836.72681 35777.287898
MAT-592   -nan nan
MAT-593   -260.20304 2168.579725
MAT-594   -5082.68447 24879.653896
MAT-595   3.22989 0.001180
MAT-596   3.39372 0.635090
MAT-597   3.22956 0.002188
MAT-598   3.22956 0.002188
MAT-599   2149.31387 10610.212129
MAT-600   457.66635 6718.833136
MAT-601   -2466.92857 13529.702880
MAT-602   3.57865 1.463745
MAT-603   191.13005 2893.811154
MAT-604   3.23296 0.017358
MAT-605   -481.86324 2118.505511
MAT-606   -9506.25731 86060.661191
MAT-607   3.23375 0.008079
MAT-608   3.58155 1.720663
MAT-609   3.23020 0.001232
MAT-610   432.89552 4496.907682
MAT-611   -nan nan
MAT-612   3.27839 0.193276
MAT-613   3.23578 0.025015
MAT-614   1445.07248 2838.700788
MAT-615   -nan nan
MAT-616   -2390.67721 4698.786877
MAT-617   3.23013 0.001278
MAT-618   3.22942 0.002847
MAT-619   3.71743 1.776454
MAT-620   3.22982 0.001463
MAT-621   3.22982 0.001463
MAT-622   3.30826 0.261192
MAT-623   5.56831 4.046796
MAT-624   -1146.61959 3213.843941
MAT-625   -nan nan
MAT-626   -nan nan
MAT-627   3.22956 0.002931
MAT-628   773.22875 4727.532363
MAT-629   3.22989 0.001180
MAT-630   5325.85156 17407.602617
MAT-631   3.39372 0.635090
MAT-632   3.08432 0.309720
MAT-633   3.22956 0.002188
MAT-634   3.20516 0.067205
