MAT-0   
MAT-75   0.5943587275 0.6310835077
MAT-76   1.8039851568 4.1025704279
MAT-77   0.7339310078 0.3481544357
MAT-78   0.6408828210 0.9934827724
MAT-79   4.5954307630 2.8130730675
MAT-400   5.2002439777 0.4744545206
MAT-401   5.2932921645 5.7989254497
MAT-402   0.1756418866 0.6172118466
MAT-403   6.0842017529 3.2017230759
MAT-404   0.5478346341 1.0021596426
MAT-405   0.5478346341 1.3354927205
MAT-406   0.5013105406 0.5425595016
MAT-407   5.5259126317 0.4558411587
MAT-408   0.6408828210 0.6172118466
MAT-409   0.8269791947 0.8111752869
MAT-410   0.8269791947 0.8111752869
MAT-411   0.7804551013 1.1988420260
MAT-412   0.9665514750 1.1546976324
MAT-413   0.9665514750 1.1546976324
MAT-414   5.0141476039 0.9579897173
MAT-415   5.2002439777 3.5626642850
MAT-416   0.5013105406 0.9021356425
MAT-417   6.4098704070 3.1361518348
MAT-418   4.7350030433 2.9512561513
MAT-419   5.9911535661 1.9826033760
MAT-420   4.8745753236 1.8375544567
MAT-421   0.6408828210 0.8004307690
MAT-422   0.2221659800 0.5096459088
MAT-423   5.0606716974 0.4558411587
MAT-424   0.5943587275 0.7559270436
MAT-425   0.6874069144 0.6579500391
MAT-426   3.5253766140 4.5716876209
MAT-427   2.2227019978 4.8043870476
MAT-428   0.6874069144 1.4111456227
MAT-429   0.5943587275 1.5735876248
MAT-430   0.6874069144 0.8322482841
MAT-431   4.8280512302 2.6547285314
MAT-432   5.1537198842 2.6383714531
MAT-433   0.5478346341 1.1988420260
MAT-434   0.3617382603 0.4744545206
MAT-435   0.3617382603 1.0021596426
MAT-436   4.5489066696 2.8007349683
MAT-437   4.7815271367 3.3367863421
MAT-438   0.3617382603 0.8628933867
MAT-439   0.4082623538 0.3481544357
MAT-440   0.6408828210 0.6172118466
MAT-441   0.8269791947 0.8111752869
MAT-442   3.8510452680 3.5382788903
MAT-443   0.7804551013 1.1988420260
MAT-444   0.9665514750 1.1546976324
MAT-445   5.0141476039 0.4744545206
MAT-446   5.1537198842 0.5425595016
MAT-447   3.3858043337 3.6585808743
MAT-448   0.5943587275 0.6310835077
MAT-449   0.5013105406 0.9021356425
MAT-450   3.7114729877 4.2741439282
MAT-451   0.8269791947 1.5735876248
MAT-452   0.5478346341 0.8628933867
MAT-453   5.3398162580 0.4161241421
MAT-454   0.5943587275 0.3721927475
MAT-455   4.7350030433 2.7382106857
MAT-456   0.6408828210 0.8004307690
MAT-457   0.2221659800 0.5096459088
MAT-458   0.6874069144 0.5884884053
MAT-459   5.6189608186 1.0771106353
MAT-460   0.8269791947 0.3721927475
MAT-461   1.3387442225 2.9188075714
MAT-462   1.7109369700 4.8492301613
MAT-463   0.8269791947 0.8628933867
MAT-464   1.6644128765 3.2286514145
MAT-465   0.3152141669 0.4744545206
MAT-466   0.3152141669 0.4744545206
MAT-467   6.3633463136 3.6467292692
MAT-468   3.3858043337 3.7635662437
MAT-469   4.9676235105 0.4744545206
MAT-470   3.0601356796 4.7573018319
MAT-471   4.6884789499 1.8469537735
MAT-472   2.3622742781 4.0707917121
MAT-473   0.3617382603 1.0021596426
MAT-474   0.7804551013 1.1988420260
MAT-475   6.4098704070 1.5458325789
MAT-476   0.4082623538 0.3481544357
MAT-477   0.6874069144 0.5096459088
MAT-478   7.2007799954 5.2057113540
MAT-479   0.7339310078 0.4558411587
MAT-480   0.6408828210 0.7443854950
MAT-481   0.5943587275 0.6310835077
MAT-482   0.7339310078 0.5425595016
MAT-483   5.3398162580 1.2825807441
MAT-484   0.5478346341 0.6963088715
MAT-485   4.2232380155 3.2686279857
MAT-486   0.8269791947 1.2690080791
MAT-487   4.6884789499 1.6488180722
MAT-488   6.0376776595 3.1416683770
MAT-489   3.2462320534 4.4527227663
MAT-490   0.8735032881 1.2960112752
MAT-491   0.4082623538 0.8004307690
MAT-492   0.4082623538 0.8004307690
MAT-493   0.5943587275 0.7559270436
MAT-494   0.5013105406 0.8004307690
MAT-495   8.9686955460 7.2110844033
MAT-496   3.9440934549 5.2140205553
MAT-497   0.9665514750 0.6837617380
MAT-498   5.8515812858 3.3984886960
MAT-499   3.6649488943 4.3683126075
MAT-500   0.5943587275 1.5735876248
MAT-501   4.7815271367 0.3721927475
MAT-502   0.5943587275 0.6310835077
MAT-503   0.7339310078 0.5425595016
MAT-504   5.5259126317 1.3611776251
MAT-505   0.6408828210 0.8004307690
MAT-506   1.4783165028 2.7852354859
MAT-507   0.3617382603 0.4744545206
MAT-508   5.0606716974 1.2621670154
MAT-509   6.7820631545 5.1083369849
MAT-510   0.3617382603 0.8628933867
MAT-511   5.0606716974 3.4740758946
MAT-512   6.5494426873 2.9775419799
MAT-513   0.6874069144 1.2131999273
MAT-514   4.6884789499 0.1860963737
MAT-515   4.6419548564 2.9862525065
MAT-516   0.2686900735 0.3481544357
MAT-517   5.1537198842 1.0361407578
MAT-518   0.8735032881 1.2621670154
MAT-519   0.7339310078 0.8004307690
MAT-520   0.7339310078 0.4558411587
MAT-521   0.5943587275 0.6310835077
MAT-522   0.5013105406 0.9021356425
MAT-523   3.7114729877 3.6276861664
MAT-524   3.5253766140 4.4468856791
MAT-525   0.5478346341 0.6963088715
MAT-526   3.7579970812 3.3471490576
MAT-527   5.0606716974 2.2867905257
MAT-528   5.2467680711 1.9204929378
MAT-529   0.6408828210 0.8004307690
MAT-530   0.2221659800 0.5096459088
MAT-531   0.2221659800 0.5096459088
MAT-532   0.4082623538 0.8004307690
MAT-533   4.7350030433 2.2524581099
MAT-534   1.8970333437 3.3984886960
MAT-535   0.4082623538 0.8528007192
MAT-536   0.9665514750 0.6837617380
MAT-537   5.3398162580 1.1769768107
MAT-538   6.3633463136 1.2344236931
MAT-539   2.7344670256 3.3729165592
MAT-540   0.6408828210 0.7443854950
MAT-541   3.9906175483 3.3211816439
MAT-542   0.5943587275 0.6310835077
MAT-543   5.5724367251 1.2825807441
MAT-544   0.6408828210 0.8004307690
MAT-545   0.5943587275 0.6310835077
MAT-546   0.3617382603 0.4744545206
MAT-547   0.3617382603 1.0021596426
MAT-548   4.2697621089 4.3603774281
MAT-549   5.0141476039 7.6988589374
MAT-550   4.0371416418 3.9978248508
MAT-551   0.6874069144 0.5096459088
MAT-552   5.9446294726 1.6008615380
MAT-553   2.9670874927 6.4020939300
MAT-554   3.8510452680 5.1184961006
MAT-555   0.3152141669 0.4744545206
MAT-556   0.2686900735 0.3481544357
MAT-557   0.8735032881 1.2621670154
MAT-558   3.4788525205 5.0021514453
MAT-559   4.4558584827 4.1445630311
MAT-560   5.2467680711 0.2279205793
MAT-561   0.5013105406 0.9934827724
MAT-562   1.0595996619 0.7559270436
MAT-563   4.6419548564 4.8259637447
MAT-564   0.9665514750 0.6837617380
MAT-565   0.4547864472 0.2942442027
MAT-566   4.5489066696 4.5450967736
MAT-567   0.2221659800 0.5096459088
MAT-568   5.5259126317 6.1608862115
MAT-569   2.6879429321 4.1985255630
MAT-570   1.3852683159 2.1421301297
MAT-571   3.0601356796 3.8969309399
MAT-572   0.6874069144 0.7207481563
MAT-573   0.5478346341 0.9579897173
MAT-574   0.5478346341 0.6310835077
MAT-575   0.7804551013 0.8628933867
MAT-576   0.5943587275 0.3721927475
MAT-577   0.8735032881 1.0771106353
MAT-578   0.8735032881 1.0771106353
MAT-579   3.5253766140 4.4077742274
MAT-580   6.0842017529 2.3243429631
MAT-581   0.5943587275 0.9579897173
MAT-582   5.0141476039 0.7559270436
MAT-583   1.8505092503 2.8679377305
MAT-584   5.4328644448 1.6276785047
MAT-585   4.7815271367 1.1988420260
MAT-586   3.3392802402 4.0086385705
