MAT-0   
MAT-368   -0.61424 3.060939
MAT-369   -nan nan
MAT-370   0.12224 0.525683
MAT-371   -nan nan
MAT-372   0.00011 0.001049
MAT-373   0.00027 0.002250
MAT-374   0.14675 0.318909
MAT-375   0.04682 0.110271
MAT-376   0.04442 0.104343
MAT-377   0.00292 0.008012
MAT-378   0.25717 0.488775
MAT-379   0.14985 0.880588
MAT-380   -nan nan
MAT-381   -0.00808 0.033199
MAT-382   -nan nan
MAT-383   0.00028 0.001709
MAT-384   -nan nan
MAT-385   0.66285 0.979376
MAT-386   0.00091 0.002097
MAT-387   -0.00169 0.006668
MAT-388   0.02371 0.048529
MAT-389   0.33294 1.543312
MAT-390   0.00141 0.008791
MAT-391   -nan nan
MAT-392   0.20102 0.556327
MAT-393   -0.00001 0.002158
MAT-394   0.00617 0.019638
MAT-395   0.06139 0.320224
MAT-396   -nan nan
MAT-397   -nan nan
MAT-398   0.00142 0.005920
MAT-399   0.27445 0.985834
MAT-40   0.00062 0.001720
MAT-41   0.19022 0.461169
MAT-42   0.00456 0.018336
MAT-43   -0.00008 0.002368
MAT-44   -0.00013 0.004504
MAT-45   0.00962 0.039218
MAT-46   0.19128 0.439214
MAT-47   0.19128 0.439214
MAT-48   1.03241 1.672253
MAT-49   0.00217 0.006687
MAT-50   -0.00016 0.002257
MAT-51   0.08850 1.607201
MAT-52   -0.00347 0.015981
MAT-53   0.05215 0.175201
MAT-54   0.05092 0.173991
MAT-55   0.00279 0.013573
MAT-56   -0.00085 0.002387
MAT-57   0.03827 1.980118
MAT-58   1.16998 1.880755
MAT-59   -0.01713 0.072273
MAT-60   0.23548 0.480387
MAT-61   0.01319 0.062980
MAT-62   0.02933 0.116021
MAT-63   0.00118 0.006026
MAT-64   0.25341 0.606420
MAT-65   -0.02325 0.598112
MAT-66   0.00109 0.019029
MAT-67   0.09960 0.397879
MAT-68   -6.81135 17.454624
MAT-69   0.00034 0.001606
MAT-70   0.00102 0.003402
MAT-71   0.08769 0.110350
MAT-72   0.00077 0.002842
MAT-73   -0.00012 0.002716
MAT-74   0.01623 0.075904
MAT-75   -0.00417 0.018944
MAT-76   0.00380 0.016204
MAT-77   0.00024 0.000684
MAT-78   0.00924 0.100252
MAT-79   0.13663 0.430959
MAT-400   0.03673 0.130386
MAT-401   0.72857 1.977247
MAT-402   -nan nan
MAT-403   -0.19658 0.775741
MAT-404   -nan nan
MAT-405   -0.10179 0.405274
MAT-406   -0.00181 0.004700
MAT-407   0.29832 0.614861
MAT-408   -0.00061 0.003024
MAT-409   0.10663 0.424158
MAT-410   0.10663 0.424158
MAT-411   -nan nan
MAT-412   0.16073 0.647701
MAT-413   0.16073 0.647701
MAT-414   -nan nan
MAT-415   0.06906 0.498479
MAT-416   0.01699 0.066606
MAT-417   0.20230 0.346205
MAT-418   0.27048 0.346392
MAT-419   0.18966 0.463500
MAT-420   0.23670 0.610041
MAT-421   0.04892 0.197871
MAT-422   0.09381 0.374781
MAT-423   -0.26044 1.883146
MAT-424   0.00394 0.018064
MAT-425   -0.00149 0.003190
MAT-426   0.09451 0.343952
MAT-427   -nan nan
MAT-428   -nan nan
MAT-429   -nan nan
MAT-430   0.00190 0.004650
MAT-431   0.08488 0.246139
MAT-432   0.14557 0.415661
MAT-433   0.08799 0.245774
MAT-434   -0.00040 0.002353
MAT-435   -nan nan
MAT-436   0.33046 0.426409
MAT-437   0.05784 0.165070
MAT-438   -0.00001 0.001820
MAT-439   -0.00021 0.001897
MAT-440   -0.00061 0.003024
MAT-441   0.10663 0.424158
MAT-442   -0.10267 2.357509
MAT-443   -nan nan
