MAT-0   
MAT-336   0.5488176447 0.8111752869
MAT-337   0.6883899250 0.5096459088
MAT-338   2.9215464099 3.8432393143
MAT-339   6.0386606701 6.7419816575
MAT-340   0.4557694578 0.7784969850
MAT-341   9.5279676778 4.8971995336
MAT-342   9.5279676778 4.8971995336
MAT-343   0.8279622053 0.9579897173
MAT-344   0.5022935512 1.4829440753
MAT-345   0.6883899250 0.2942442027
MAT-346   4.9686065211 2.3280648917
MAT-347   0.3161971775 0.2279205793
MAT-348   0.6883899250 0.8827326080
MAT-349   5.5734197357 8.1596416261
MAT-350   0.6418658315 0.8528007192
MAT-351   2.0841127280 2.8528033888
MAT-352   0.4557694578 0.4161241421
MAT-353   7.1552389125 8.2093605222
MAT-354   1.2466790462 3.8880338257
MAT-355   0.9210103922 0.6579500391
MAT-356   9.5744917712 0.7443854950
MAT-357   0.5022935512 0.6837617380
MAT-358   0.2231489906 0.2942442027
MAT-359   5.3873233620 0.9021356425
MAT-360   5.2942751751 2.4156714313
MAT-361   0.6418658315 0.6837617380
MAT-362   0.6418658315 0.6837617380
MAT-363   8.1322448747 8.9151623336
MAT-364   0.5488176447 0.7559270436
MAT-365   0.5488176447 0.7559270436
MAT-366   4.5498896801 3.4390086216
MAT-367   0.7349140184 0.6172118466
MAT-368   6.3643293241 7.8657369942
MAT-369   0.5022935512 0.8004307690
MAT-370   0.5488176447 0.4744545206
MAT-371   0.3627212709 0.4744545206
MAT-372   0.5953417381 0.6963088715
MAT-373   0.5488176447 0.9116823173
MAT-374   5.4803715489 0.8111752869
MAT-375   3.2937391574 8.5401813701
MAT-376   0.5488176447 0.9579897173
MAT-377   0.4557694578 1.0192918177
MAT-378   8.2718171550 4.2293446130
MAT-379   5.6664679226 7.7660404807
MAT-380   0.5488176447 0.6310835077
MAT-381   0.5488176447 0.4744545206
MAT-382   3.0611186902 8.3401493664
MAT-383   0.6418658315 0.5425595016
MAT-384   0.6418658315 0.5425595016
MAT-385   6.5969497913 4.2599407047
MAT-386   0.5488176447 0.8111752869
MAT-387   0.5953417381 0.4744545206
MAT-388   2.1771609149 4.4390909567
MAT-389   4.8290342408 0.8004307690
MAT-390   0.3161971775 0.4744545206
MAT-391   7.6670039403 4.0665357865
MAT-392   0.5953417381 1.0444633072
MAT-393   0.7349140184 1.0771106353
MAT-394   0.7349140184 1.0771106353
MAT-395   5.4338474554 0.6310835077
MAT-396   0.2696730841 0.8004307690
MAT-397   0.4092453644 0.6172118466
MAT-398   0.4092453644 0.6172118466
MAT-399   0.5488176447 0.4744545206
MAT-40   4.8755583342 2.4793457215
MAT-41   0.7814381118 0.9579897173
MAT-42   0.2696730841 0.3481544357
MAT-43   0.4557694578 0.6579500391
MAT-44   0.7349140184 0.8528007192
MAT-45   1.0140585790 0.6963088715
MAT-46   0.5488176447 0.6963088715
MAT-47   5.3407992685 0.8322482841
MAT-48   3.6194078114 5.0159791190
MAT-49   0.5953417381 0.6310835077
MAT-50   0.6418658315 0.4558411587
MAT-51   1.1536308593 1.4712210133
MAT-52   0.3627212709 0.9116823173
MAT-53   0.4092453644 0.8004307690
MAT-54   0.5022935512 0.9021356425
MAT-55   0.5022935512 0.9021356425
MAT-56   0.7349140184 0.8004307690
MAT-57   5.7595161095 7.6356228855
MAT-58   0.8744862987 1.3611776251
MAT-59   0.4557694578 0.5096459088
MAT-60   3.9916005589 3.1333899216
MAT-61   6.0851847635 3.7381754425
MAT-62   0.9210103922 0.6579500391
MAT-63   0.7814381118 0.8628933867
MAT-64   3.4333114377 3.8409858756
MAT-65   2.8284982230 4.9007341422
MAT-66   0.5022935512 0.6837617380
MAT-67   0.5022935512 0.6837617380
MAT-68   0.5488176447 1.3354927205
MAT-69   0.5488176447 0.9579897173
MAT-70   0.5488176447 0.9579897173
MAT-71   1.1071067659 2.9039383582
MAT-72   3.0145945968 4.7079072426
MAT-73   0.5488176447 0.8628933867
MAT-74   4.1311728392 8.0657268496
MAT-75   3.1076427836 8.1362645607
MAT-76   0.3627212709 0.4744545206
MAT-77   0.5953417381 0.9579897173
MAT-78   0.5953417381 0.9579897173
MAT-79   0.6883899250 0.5884884053
MAT-400   0.5953417381 0.4744545206
MAT-401   8.9696785565 9.0242351223
MAT-402   6.7365220716 12.6079434830
MAT-403   4.6429378670 7.3088743692
MAT-404   0.5022935512 1.0771106353
MAT-405   2.2702091018 4.2781933312
MAT-406   0.5488176447 0.3721927475
MAT-407   2.0375886346 3.3984886960
MAT-408   0.8279622053 0.8111752869
MAT-409   0.8279622053 0.8111752869
MAT-410   0.7349140184 0.6837617380
MAT-411   0.7349140184 0.6837617380
MAT-412   0.9675344856 1.1546976324
MAT-413   1.0140585790 1.5735876248
MAT-414   0.8744862987 0.5425595016
MAT-415   0.6418658315 0.9021356425
MAT-416   0.7349140184 0.7443854950
MAT-417   0.5953417381 0.6963088715
MAT-418   8.3183412484 7.4287192315
MAT-419   2.1771609149 3.2844823778
MAT-420   1.0140585790 1.3988209707
MAT-421   0.6418658315 0.8004307690
MAT-422   0.3627212709 0.6310835077
MAT-423   4.4103173998 6.0517098649
MAT-424   0.8744862987 0.9934827724
MAT-425   0.6883899250 0.6579500391
MAT-426   5.9456124832 3.9652067519
MAT-427   0.3627212709 0.8628933867
MAT-428   0.5953417381 1.5735876248
MAT-429   0.6418658315 0.7443854950
MAT-430   0.5953417381 0.8628933867
MAT-431   2.1306368215 3.7727568954
MAT-432   3.0611186902 4.4952964860
MAT-433   0.7349140184 0.5425595016
MAT-434   0.7349140184 1.1165782425
MAT-435   0.2696730841 0.9021356425
MAT-436   4.1311728392 7.6015300397
MAT-437   0.3627212709 1.0444633072
MAT-438   0.3627212709 0.8628933867
MAT-439   0.7814381118 0.4744545206
MAT-440   0.5488176447 0.8628933867
MAT-441   0.8279622053 0.8111752869
MAT-442   4.6894619604 0.9021356425
MAT-443   0.7349140184 0.6837617380
MAT-444   0.9675344856 1.1546976324
MAT-445   0.8279622053 0.8111752869
MAT-446   0.7349140184 1.4233635617
MAT-447   0.5488176447 0.6310835077
MAT-448   0.5022935512 0.9021356425
MAT-449   0.7349140184 0.7443854950
MAT-450   6.8760943519 5.0159791190
MAT-451   0.7814381118 0.7559270436
MAT-452   0.5488176447 0.8628933867
MAT-453   9.4349194909 4.4293282641
MAT-454   0.5488176447 0.4744545206
MAT-455   9.2022990237 3.9978248508
MAT-456   0.6418658315 0.8004307690
MAT-457   0.3627212709 0.6310835077
MAT-458   9.1092508368 4.9183690827
MAT-459   4.5964137736 2.3428934805
MAT-460   0.7349140184 0.9021356425
MAT-461   8.3183412484 6.5887052530
MAT-462   5.4338474554 1.7056014385
MAT-463   0.9675344856 0.6837617380
MAT-464   10.8306422940 8.2629723842
MAT-465   0.4557694578 0.4161241421
MAT-466   0.5488176447 1.2344236931
MAT-467   4.4568414933 7.6977342776
MAT-468   0.3161971775 0.6963088715
MAT-469   0.5953417381 0.6310835077
MAT-470   1.1536308593 2.0172366216
MAT-471   4.6894619604 3.3857267707
MAT-472   4.5033655867 8.0453058947
MAT-473   0.9675344856 0.3481544357
MAT-474   0.3627212709 0.8628933867
MAT-475   5.4803715489 6.2667798432
MAT-476   0.7814381118 0.4744545206
MAT-477   0.7814381118 0.4744545206
MAT-478   18.8327863649 14.9370599555
MAT-479   0.3161971775 0.4744545206
MAT-480   0.7814381118 0.3721927475
MAT-481   0.5022935512 0.9021356425
MAT-482   0.5022935512 0.8004307690
MAT-483   2.0841127280 4.4332359211
MAT-484   0.4557694578 0.9304818687
MAT-485   0.6883899250 1.0609125602
MAT-486   3.7589800917 3.0776311991
MAT-487   1.2001549528 1.2273898826
MAT-488   9.2022990237 3.9978248508
MAT-489   4.5964137736 4.2067660529
MAT-490   8.0391966878 5.3094570627
MAT-491   0.4092453644 0.8004307690
MAT-492   0.8744862987 0.9934827724
MAT-493   0.8744862987 0.9934827724
MAT-494   0.6883899250 0.6579500391
MAT-495   5.4338474554 1.1243055197
MAT-496   6.7830461651 7.2458195013
MAT-497   0.6418658315 1.0771106353
MAT-498   8.5509617156 6.6018327920
MAT-499   0.8744862987 1.0771106353
MAT-500   0.6418658315 0.7443854950
MAT-501   0.8744862987 0.4558411587
MAT-502   0.5953417381 0.6310835077
MAT-503   0.7814381118 0.8628933867
MAT-504   8.4113894353 5.0913600786
MAT-505   0.6418658315 0.8004307690
MAT-506   0.6418658315 0.6837617380
MAT-507   0.2696730841 0.9021356425
MAT-508   9.1092508368 2.4156714313
MAT-509   0.4092453644 1.2273898826
MAT-510   0.7814381118 0.6963088715
MAT-511   0.5022935512 0.6837617380
MAT-512   3.5263596246 4.1445630311
MAT-513   0.6883899250 1.2131999273
MAT-514   9.2022990237 7.0900031915
MAT-515   0.5022935512 1.2960112752
MAT-516   0.5953417381 1.2344236931
MAT-517   9.5744917712 1.4829440753
MAT-518   0.8744862987 1.2621670154
MAT-519   0.8279622053 0.4744545206
MAT-520   0.6418658315 0.7443854950
MAT-521   0.5022935512 0.9021356425
MAT-522   0.7349140184 0.7443854950
MAT-523   0.8744862987 0.3481544357
MAT-524   0.7814381118 0.8628933867
MAT-525   0.5488176447 0.8628933867
MAT-526   0.5953417381 0.9579897173
MAT-527   2.1771609149 3.2844823778
MAT-528   9.2022990237 3.9978248508
MAT-529   0.6418658315 0.8004307690
MAT-530   0.3627212709 0.6310835077
MAT-531   0.3627212709 0.6310835077
MAT-532   0.4092453644 0.8004307690
MAT-533   8.9696785565 4.1570780964
MAT-534   5.9921365767 1.5680759174
MAT-535   2.4563054755 4.8223743327
MAT-536   0.9675344856 0.6837617380
MAT-537   0.7349140184 0.6837617380
MAT-538   0.5953417381 1.3988209707
MAT-539   7.3413352863 6.7906054234
MAT-540   0.6418658315 0.7443854950
MAT-541   0.4557694578 0.7207481563
MAT-542   0.8279622053 0.8628933867
MAT-543   3.0611186902 4.4952964860
MAT-544   0.6418658315 0.8004307690
MAT-545   0.6418658315 0.5425595016
MAT-546   0.2696730841 0.9021356425
MAT-547   0.2696730841 0.9021356425
MAT-548   0.2696730841 0.4558411587
MAT-549   5.8060402029 0.9758976170
MAT-550   0.7814381118 1.2690080791
MAT-551   0.6883899250 1.2131999273
MAT-552   1.0140585790 1.5735876248
MAT-553   15.0643347966 4.3880877769
MAT-554   5.3407992685 8.3846691318
MAT-555   0.5953417381 1.2344236931
MAT-556   0.5953417381 1.2344236931
MAT-557   0.8744862987 1.2621670154
MAT-558   6.3178052307 4.8652725031
MAT-559   0.9675344856 0.7443854950
MAT-560   7.2482870994 7.7816327188
MAT-561   1.0605826725 0.7559270436
MAT-562   1.0605826725 0.7559270436
MAT-563   4.4103173998 3.8364750274
MAT-564   0.5953417381 0.9579897173
MAT-565   0.5488176447 0.6310835077
MAT-566   8.6440099025 16.8193445481
MAT-567   0.2231489906 0.5096459088
MAT-568   1.9445404477 3.7056082655
MAT-569   0.5022935512 0.5425595016
MAT-570   0.5953417381 0.8628933867
MAT-571   3.4333114377 7.4228895836
MAT-572   0.8279622053 0.8628933867
MAT-573   0.8744862987 0.7443854950
MAT-574   0.7814381118 0.8628933867
MAT-575   0.5953417381 0.3721927475
MAT-576   0.6883899250 0.7784969850
MAT-577   0.7349140184 0.8004307690
MAT-578   1.9910645412 4.5546113261
MAT-579   5.1547028948 0.9021356425
MAT-580   4.1776969327 4.2436502408
MAT-581   3.5263596246 3.8296987931
MAT-582   8.3183412484 14.2803959853
MAT-583   6.6434738848 8.5310523655
MAT-584   6.9691425388 11.4453052236
MAT-585   3.0611186902 4.8295504890
MAT-586   3.7124559983 4.6244106379
MAT-587   4.3172692130 3.4010353346
MAT-588   0.6883899250 0.7784969850
MAT-589   0.4092453644 0.6837617380
MAT-590   0.5488176447 0.5582891212
MAT-591   4.1311728392 4.2170440209
MAT-592   2.5958777558 4.7115838595
MAT-593   3.9450764655 4.1612414206
MAT-594   5.4338474554 1.3988209707
MAT-595   0.6883899250 1.0609125602
MAT-596   5.8060402029 8.4617593450
MAT-597   1.0605826725 1.3026746162
MAT-598   0.4557694578 0.7207481563
MAT-599   3.9916005589 4.8830355140
MAT-600   5.3407992685 1.4712210133
MAT-601   3.1541668771 4.3404760124
MAT-602   3.4798355311 4.9412004134
MAT-603   9.1092508368 2.4688473862
MAT-604   0.5953417381 0.6963088715
MAT-605   2.0841127280 3.0860592328
MAT-606   4.5033655867 6.3899110571
MAT-607   0.7349140184 0.8004307690
MAT-608   9.8536363318 10.4719523349
MAT-609   0.5488176447 0.6963088715
MAT-610   1.7584440740 2.9217723335
MAT-611   0.7349140184 1.0361407578
MAT-612   0.6418658315 1.0771106353
MAT-613   0.3627212709 0.6310835077
MAT-614   2.9680705033 4.4856561221
MAT-615   0.5488176447 1.1988420260
MAT-616   2.5493536624 4.2436502408
MAT-617   0.2696730841 0.5425595016
MAT-618   0.2696730841 0.5425595016
MAT-619   0.5022935512 0.3481544357
MAT-620   0.4092453644 0.8528007192
MAT-621   0.6883899250 0.7784969850
MAT-622   0.6883899250 0.7784969850
MAT-623   0.7349140184 0.4558411587
MAT-624   0.7349140184 0.9489090411
MAT-625   0.3627212709 0.5582891212
