MAT-0   
MAT-40   165.46497 1564.234572
MAT-41   3.79982 0.910604
MAT-42   3.23008 0.000115
MAT-43   3.26424 0.338375
MAT-44   3.23036 0.001210
MAT-45   3.23515 0.129095
MAT-46   3.39094 0.183284
MAT-47   5012.67661 23019.935879
MAT-48   -nan nan
MAT-49   3.23001 0.000532
MAT-50   3.23001 0.000150
MAT-51   3.71421 0.730675
MAT-52   -nan nan
MAT-53   3.37811 0.516436
MAT-54   3.23036 0.001596
MAT-55   3.23030 0.001536
MAT-56   3.75892 2.117601
MAT-57   4855.08347 27336.547709
MAT-58   4.89896 5.099796
MAT-59   3.23000 0.000214
MAT-60   -nan nan
MAT-61   4748.36786 20477.176014
MAT-62   3.23229 0.008793
MAT-63   3.23021 0.000701
MAT-64   -533.27350 8904.640230
MAT-65   5821.33376 16834.234734
MAT-66   3.23451 0.017887
MAT-67   3.25950 0.110750
MAT-68   -nan nan
MAT-69   3.23008 0.000426
MAT-70   3.23008 0.000426
MAT-71   43.72910 161.678230
MAT-72   24.34608 595.860888
MAT-73   3.22999 0.000261
MAT-74   6829.93618 23612.465896
MAT-75   2027.42514 7813.446587
MAT-76   3.15597 0.128900
MAT-77   3.22833 0.010102
MAT-78   3.22833 0.010102
MAT-79   3.46382 0.923182
MAT-400   3.35563 0.369041
MAT-401   3746.57522 6378.688779
MAT-402   -nan nan
MAT-403   1038.32428 2528.446989
MAT-404   -nan nan
MAT-405   145.83464 560.956852
MAT-406   3.22990 0.000471
MAT-407   41.81557 612.334985
MAT-408   3.23975 0.038778
MAT-409   3.23975 0.038778
MAT-410   3.22994 0.000129
MAT-411   3.22994 0.000129
MAT-412   3.23606 0.039454
MAT-413   3.27004 0.158905
MAT-414   3.37515 0.364240
MAT-415   -nan nan
MAT-416   3.22998 0.000141
MAT-417   4.20166 3.193013
MAT-418   1832.29174 11561.649888
MAT-419   -2060.62486 8314.049386
MAT-420   4.08277 3.044612
MAT-421   3.23000 0.000283
MAT-422   3.22697 0.013107
MAT-423   -nan nan
MAT-424   3.22989 0.001758
MAT-425   3.23023 0.001868
MAT-426   10923.07417 34216.990306
MAT-427   -nan nan
MAT-428   -nan nan
MAT-429   3.23021 0.000584
MAT-430   3.24858 0.121547
MAT-431   -nan nan
MAT-432   1778.88600 6976.656934
MAT-433   3.26254 0.120893
MAT-434   3.23063 0.002491
MAT-435   3.22998 0.000298
MAT-436   2847.07416 7104.563096
MAT-437   4.38213 3.217702
MAT-438   3.23000 0.000174
MAT-439   3.23001 0.000131
MAT-440   3.22924 0.001521
MAT-441   3.23975 0.038778
MAT-442   -nan nan
MAT-443   3.22994 0.000129
MAT-444   3.23606 0.039454
MAT-445   3.30142 0.598200
MAT-446   3.58924 1.439495
MAT-447   4.23050 3.056036
MAT-448   3.23035 0.001213
MAT-449   3.22998 0.000141
MAT-450   2362.42233 6437.190389
MAT-451   3.22810 0.071961
MAT-452   3.23027 0.001054
MAT-453   22269.80999 52972.451220
MAT-454   3.22994 0.000266
MAT-455   12276.73678 18621.285173
MAT-456   3.23000 0.000283
MAT-457   3.22697 0.013107
MAT-458   7649.00461 20252.923017
MAT-459   1000.00975 2492.339050
MAT-460   3.34527 0.274676
MAT-461   10419.30806 28497.044923
MAT-462   3642.12892 14370.306155
MAT-463   3.22966 0.001268
MAT-464   861.81290 25468.358921
MAT-465   3.23009 0.000065
MAT-466   -nan nan
MAT-467   -nan nan
MAT-468   3.04989 0.641624
MAT-469   3.99719 2.673477
MAT-470   28.15713 99.630548
MAT-471   -1946.00869 4860.141507
MAT-472   -4104.12675 19390.612612
MAT-473   3.23000 0.000125
MAT-474   3.23000 0.000174
MAT-475   2379.77327 5105.839746
MAT-476   3.23001 0.000131
MAT-477   3.23001 0.000131
MAT-478   8560.94590 21017.558418
MAT-479   3.22990 0.000415
MAT-480   3.23082 0.003486
MAT-481   3.23035 0.001213
MAT-482   3.26793 0.276879
MAT-483   940.05838 3747.810206
MAT-484   -nan nan
MAT-485   4.41701 4.900763
MAT-486   -nan nan
MAT-487   4.54067 3.718252
MAT-488   23797.10987 82540.093860
MAT-489   -nan nan
MAT-490   -869.10360 5914.274713
MAT-491   -nan nan
MAT-492   3.22989 0.001758
MAT-493   3.22989 0.001758
MAT-494   3.23023 0.001868
MAT-495   -17398.89763 53063.103319
MAT-496   19844.36126 59567.320135
MAT-497   3.22997 0.000183
MAT-498   -5926.65228 34091.636556
MAT-499   3.70552 1.107787
MAT-500   3.23021 0.000584
MAT-501   165.90266 650.812141
MAT-502   3.23003 0.000129
MAT-503   3.29613 0.139228
MAT-504   -nan nan
MAT-505   3.23001 0.000082
MAT-506   3.21522 0.084304
MAT-507   3.22998 0.000298
MAT-508   5481.03564 21659.513768
MAT-509   5.38200 6.107815
MAT-510   3.23068 0.002517
MAT-511   3.22141 0.060066
MAT-512   -1904.07278 102872.166153
MAT-513   -nan nan
MAT-514   10579.41558 26742.633392
MAT-515   -nan nan
MAT-516   3.22983 0.000798
MAT-517   -16740.35136 104901.424628
MAT-518   3.24402 0.057547
MAT-519   3.23010 0.000194
MAT-520   3.22708 0.032341
MAT-521   3.23035 0.001213
MAT-522   3.22998 0.000141
MAT-523   3.50898 0.945006
MAT-524   3.23281 0.099845
MAT-525   3.23027 0.001054
MAT-526   3.15071 0.280038
MAT-527   -2272.95335 9168.475646
MAT-528   24478.01155 83242.723153
MAT-529   3.23000 0.000283
MAT-530   3.22697 0.013107
MAT-531   3.22697 0.013107
MAT-532   -nan nan
MAT-533   -12154.90793 48319.414456
MAT-534   4165.51656 26509.419744
MAT-535   187.06665 628.387777
MAT-536   3.22966 0.001268
MAT-537   3.37990 0.601478
MAT-538   -nan nan
MAT-539   -1592.88025 5662.722278
MAT-540   3.23021 0.000584
MAT-541   3.15795 0.163264
MAT-542   3.22984 0.000736
MAT-543   4075.26054 16110.926947
MAT-544   3.23001 0.000082
MAT-545   3.24181 0.016720
MAT-546   3.22998 0.000298
MAT-547   3.22998 0.000298
MAT-548   3.27986 0.166477
MAT-549   -20656.46282 72057.831916
MAT-550   3.40431 0.978077
MAT-551   -nan nan
MAT-552   257.45250 1015.494705
MAT-553   -2597.43992 28662.267523
MAT-554   5961.58843 13974.857889
MAT-555   3.22983 0.000798
MAT-556   3.22983 0.000798
MAT-557   3.24402 0.057547
MAT-558   -371.71478 2474.992308
MAT-559   3.17544 0.324055
MAT-560   8618.89454 21111.772925
MAT-561   3.22963 0.001181
MAT-562   3.22963 0.001181
MAT-563   2652.83847 101232.786501
MAT-564   -nan nan
MAT-565   3.23230 0.009087
MAT-566   -nan nan
MAT-567   3.23006 0.000142
MAT-568   -6.53943 143.248304
MAT-569   3.20306 0.077574
